name,adm1_code,all students,male students,female students,white students,black students,Hispanic students,Asian students,American Indian/Alaska native students,native Hawaiian/other Pacific islander students,students of two or more races,students eligible for National School Lunch Program,students not eligible for National School Lunch Program
Alabama,USA-3541,139.9775036,140.9104989,139.0202052,153.1431034,118.185472,128.2992301,,No Data,,147.6833733,127.0279143,154.6206237
Alaska,USA-3563,153.4795362,154.3871297,152.5177721,166.2505827,132.9247838,143.6285788,147.0073961,133.9098356,,152.2224544,139.185814,164.1770724
Arizona,USA-3520,143.7537155,145.7545396,141.7006665,161.6074133,126.7657942,132.9847441,,125.710728,,153.4910932,132.4420488,155.5930641
Arkansas,USA-3528,147.6651604,148.760554,146.5608697,159.8524225,117.2823949,137.1931941,,,,151.3015592,138.183679,160.1649281
California,USA-3521,140.4158838,142.5866958,138.1218633,162.0870591,122.2457756,129.1851298,159.3370763,,,156.5852301,127.0055777,156.9983717
Colorado,USA-3522,160.5761647,162.1998062,158.9028082,172.2886875,144.0907467,143.7276702,159.7150024,,,166.0828943,143.6351702,170.6733188
Connecticut,USA-3537,154.6677323,156.0737124,153.2607993,167.0189159,127.3074512,133.3974489,166.7732362,,,150.7140904,130.2120527,166.4917253
Delaware,USA-3555,150.0546272,150.7366659,149.3554038,161.8819646,132.5233527,140.1944057,170.2637226,,,151.0660329,137.7701398,159.7432361
District of Columbia,USA-3556,111.719077,109.8845593,113.4714658,170.1955983,105.1158017,114.0392259,,,,129.5329323,103.9314758,131.4304425
Florida,USA-3542,148.392094,149.5301532,147.2136503,162.6163311,126.4232475,143.6164699,168.0893034,,,149.6728307,137.6614369,161.5541052
Georgia,USA-3543,150.5702846,152.7260273,148.371283,166.281188,131.7090516,142.9255297,172.9101699,,,154.9211572,138.4947643,166.4724228
Hawaii,USA-3517,142.0555101,142.5846816,141.4824807,159.1674916,,141.4613625,148.487348,,125.5254618,151.0970962,131.6439812,150.9261126
Idaho,USA-3518,159.0068977,161.6634063,156.2149144,165.4681366,,142.0229852,,,,156.8384144,149.3817282,166.5618261
Illinois,USA-3546,147.211486,150.3401167,143.9595453,161.8934817,120.9490643,135.3289417,164.6481905,,,150.7967109,131.6272745,161.6312702
Indiana,USA-3547,152.9549282,156.7044863,149.2095122,161.4553682,126.7833402,136.8824512,,,,150.9839328,139.1735286,163.7771754
Iowa,USA-3529,157.26539,159.2302896,155.2237259,161.9054775,131.297716,143.0226315,,,,148.871245,146.9567632,163.5021949
Kansas,USA-3530,155.9165154,158.9935601,152.6873939,164.9089599,130.9240122,136.549466,,,,155.8417108,142.6109101,166.4248702
Kentucky,USA-3548,156.8460437,158.3964749,155.2027494,160.5637932,132.3984878,148.3662323,,,,158.1126233,147.5874057,167.0726789
Louisiana,USA-3535,142.8508378,144.4956459,141.1624853,156.6648754,124.3862417,135.6686717,,,,154.5924489,133.9215398,157.1287134
Maine,USA-3561,160.012153,161.6591649,158.2826466,161.8986607,,148.3920977,,,,160.694538,151.7932717,165.7831131
Maryland,USA-3557,151.5053472,152.0818687,150.917275,169.061374,131.0655795,139.4449964,167.9994675,,,149.2723639,131.561819,161.9159165
Massachusetts,USA-3513,161.2253284,163.746897,158.6272518,171.2127558,137.3414809,135.4036901,169.9733057,,,164.1347179,140.812282,171.4383025
Michigan,USA-3562,157.1173265,159.7168632,154.4141208,166.5917772,126.3475373,143.8441934,168.5235222,,,144.0014069,143.2478704,167.5540944
Minnesota,USA-3514,160.895224,163.3556342,158.341654,169.4316581,126.5489455,140.1021425,148.131651,143.2409413,,156.9900456,145.2100803,168.3341832
Mississippi,USA-3544,137.3590072,141.5087945,133.1767432,155.9118814,119.0631431,132.2274085,,,,141.739982,128.0013685,157.2836663
Missouri,USA-3531,156.3388879,157.987109,154.653378,163.2986739,128.6619412,144.4234194,,,,155.7450207,144.8346098,164.8910637
Montana,USA-3515,163.3290715,166.2092108,160.2993477,168.3079664,,150.7360201,,136.973828,,164.8322658,152.8479975,169.7877883
Nebraska,USA-3532,156.7290993,157.9330668,155.4687095,165.2420685,129.5227582,135.4047179,,,,153.0539117,141.7286975,166.4957713
Nevada,USA-3523,144.3887227,147.8603263,140.7888726,159.2164451,123.2993143,134.9867144,158.5170499,,,152.5244118,134.2131783,153.6624321
